OTU_ID,COLC3,COLC4,COLC5,COLC6,COLC7,COLC8,COLC9,COLC12,COLC14,COLC17,COLC18,COLC19,COLC20,COLC21,COLC23,COLC24,COLC25,COLC26,COA1,COA2,COA3,COA4,COA5,COA6,COA7,COA8,COA9,COA10,COA11,COB1,COB2,COB3,COB4,COB5,COB6,COB7,COB8,COB9,COB10,COB11,COB12,COC1,COC2,COC3,COC4,COC5,COC6,COC7,COC8,COC9,COC10,COC11,COC12,COC13
1112936,3072.0,3439.0,6280.0,7408.0,0.0,0.0,5899.0,6515.0,8316.0,6956.0,7631.0,153.0,1105.0,213.0,1203.0,3255.0,2644.0,4829.0,605.0,7.0,24.0,0.0,0.0,24.0,73.0,42.0,24.0,48.0,15.0,20.0,26.0,22.0,22.0,23.0,25.0,32.0,27.0,23.0,22.0,17.0,55.0,16.0,34.0,21.0,19.0,13.0,43.0,50.0,31.0,34.0,44.0,27.0,29.0,31.0
337966,0.0,0.0,0.0,0.0,16615.0,9073.0,3120.0,0.0,0.0,0.0,0.0,10341.0,3297.0,238.0,2163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1108484,2161.0,420.0,562.0,1273.0,95.0,1364.0,254.0,0.0,598.0,15626.0,440.0,2025.0,2299.0,120.0,2714.0,13361.0,233.0,4016.0,74.0,887.0,349.0,0.0,40.0,0.0,0.0,47.0,0.0,1511.0,380.0,0.0,60.0,0.0,0.0,91.0,66.0,179.0,0.0,0.0,42.0,69.0,278.0,328.0,695.0,103.0,368.0,1458.0,0.0,63.0,0.0,58.0,129.0,160.0,56.0,0.0
387435,114.0,133.0,0.0,678.0,0.0,768.0,22.0,132.0,219.0,531.0,310.0,642.0,664.0,587.0,101.0,242.0,163.0,398.0,800.0,198.0,164.0,1008.0,1705.0,784.0,170.0,575.0,144.0,426.0,406.0,521.0,50.0,1007.0,841.0,791.0,2795.0,320.0,1128.0,1237.0,660.0,566.0,422.0,102.0,879.0,669.0,715.0,330.0,457.0,469.0,1263.0,2274.0,1145.0,842.0,386.0,1580.0
448395,0.0,0.0,2301.0,2748.0,0.0,0.0,0.0,2084.0,0.0,3976.0,2328.0,33.0,1888.0,35.0,0.0,2313.0,38.0,68.0,868.0,644.0,629.0,840.0,706.0,1072.0,1755.0,542.0,1373.0,1010.0,701.0,951.0,854.0,415.0,34.0,725.0,504.0,122.0,93.0,204.0,67.0,63.0,70.0,45.0,322.0,61.0,114.0,228.0,630.0,50.0,83.0,977.0,54.0,41.0,106.0,528.0
216933,18.0,16.0,165.0,58.0,8.0,46.0,36.0,33.0,31.0,38.0,66.0,42.0,27.0,31.0,32.0,47.0,81.0,74.0,38.0,40.0,60.0,61.0,134.0,85.0,92.0,14.0,206.0,19.0,77.0,52.0,20.0,131.0,94.0,65.0,140.0,83.0,115.0,89.0,163.0,93.0,40.0,62.0,38.0,175.0,116.0,61.0,130.0,119.0,157.0,140.0,130.0,138.0,151.0,117.0
533765,0.0,39.0,65.0,49.0,0.0,31.0,30.0,0.0,13.0,0.0,26.0,30.0,65.0,55.0,51.0,49.0,99.0,91.0,86.0,96.0,91.0,77.0,85.0,198.0,63.0,90.0,132.0,84.0,119.0,92.0,63.0,136.0,108.0,109.0,182.0,77.0,154.0,114.0,114.0,94.0,86.0,106.0,123.0,120.0,96.0,131.0,170.0,91.0,238.0,198.0,225.0,154.0,169.0,232.0
187285,223.0,147.0,233.0,462.0,269.0,548.0,172.0,178.0,358.0,378.0,271.0,569.0,257.0,419.0,48.0,123.0,92.0,262.0,674.0,216.0,113.0,206.0,109.0,295.0,416.0,200.0,430.0,641.0,189.0,477.0,448.0,815.0,126.0,354.0,362.0,422.0,282.0,82.0,154.0,303.0,103.0,134.0,321.0,398.0,469.0,283.0,237.0,181.0,385.0,130.0,144.0,339.0,494.0,614.0
121902,21.0,7.0,246.0,259.0,263.0,207.0,586.0,210.0,15.0,74.0,43.0,1718.0,203.0,96.0,426.0,69.0,140.0,253.0,1530.0,696.0,658.0,459.0,1208.0,827.0,761.0,355.0,1763.0,89.0,16.0,2517.0,4945.0,3035.0,68.0,753.0,585.0,636.0,647.0,52.0,147.0,30.0,30.0,26.0,1020.0,4004.0,29.0,1737.0,1064.0,4698.0,2731.0,203.0,298.0,77.0,115.0,479.0
350420,465.0,338.0,464.0,344.0,112.0,220.0,169.0,167.0,932.0,524.0,391.0,263.0,186.0,112.0,61.0,223.0,111.0,107.0,298.0,203.0,80.0,247.0,286.0,313.0,337.0,115.0,235.0,166.0,99.0,413.0,258.0,292.0,111.0,317.0,461.0,162.0,175.0,113.0,233.0,119.0,118.0,87.0,172.0,215.0,211.0,97.0,140.0,136.0,236.0,156.0,173.0,319.0,233.0,376.0
